Time Elapsed (s),X Position (m),Y Position (m),Eccentric Anomaly (rad),Orbital Radius (m),Orbital Velocity (m/s),Gravitational Potential Energy (J),Kinetic Energy (J),Mechanical Energy (J)
3482569.216291968,111509037243.25436,96849707350.44124,0.7042748626852892,147696077134.03766,29980.286113638358,-5.367738441180946e+33,2.683869220590472e+33,-2.6838692205904734e+33
3588101.616785664,109421894425.69675,99253601515.03653,0.725557246943993,147730932419.09085,29976.749166278572,-5.366471989731716e+33,2.683235994865858e+33,-2.683235994865858e+33
3693634.01727936,107284576783.03699,101611983706.18614,0.7468345499462538,147766625623.7233,29973.12848786624,-5.365175712023029e+33,2.6825878560115145e+33,-2.6825878560115145e+33
3799166.417773056,105098100000.76984,103923806256.43117,0.7681066547235765,147803139785.98715,29969.425889661772,-5.36385026726721e+33,2.681925133633605e+33,-2.681925133633605e+33
3904698.8182667517,102863501621.498,106188045143.0801,0.7893734469473244,147840457578.921,29965.643219366644,-5.362496327642834e+33,2.6812481638214176e+33,-2.6812481638214164e+33
4010231.218760448,100581840453.40503,108403700440.55414,0.8106348149792206,147878561320.42813,29961.78235990715,-5.361114577833552e+33,2.680557288916776e+33,-2.680557288916776e+33
4115763.619254144,98254195969.68103,110569796756.2681,0.8318906499200132,147917432983.30634,29957.845228204384,-5.359705714562213e+33,2.6798528572811057e+33,-2.679852857281107e+33
4221296.01974784,95881667699.42361,112685383649.88951,0.8531408456562841,147957054205.41962,29953.833773931798,-5.358270446120847e+33,2.6791352230604233e+33,-2.6791352230604233e+33
4326828.420241536,93465374610.53864,114749536035.83826,0.8743852989053867,147997406300.004,29949.749978261647,-5.356809491897012e+33,2.678404745948505e+33,-2.6784047459485064e+33
4432360.820735232,91006454485.16415,116761354568.90714,0.8956239092584997,148038470266.09775,29945.595852601724,-5.35532358189706e+33,2.6776617909485297e+33,-2.677661790948531e+33
4537893.221228928,88506063288.14148,118719966012.90302,0.9168565792217833,148080226799.08804,29941.37343732356,-5.353813456266819e+33,2.676906728133409e+33,-2.67690672813341e+33
4643425.621722624,85965374529.05545,120624523592.22589,0.9380832142556327,148122656301.36478,29937.084800483557,-5.352279864810225e+33,2.6761399324051123e+33,-2.6761399324051123e+33
4748958.02221632,83385578618.3635,122474207326.3228,0.9593037228120196,148165738893.07333,29932.73203653815,-5.35072356650639e+33,2.675361783253195e+33,-2.675361783253195e+33
4854490.422710015,80767882218.13235,124268224346.96861,0.9805180163699129,148209454422.95718,29928.317265054447,-5.349145329025641e+33,2.67457266451282e+33,-2.674572664512821e+33
4960022.823203712,78113507587.89458,126005809198.34708,1.0017260094687848,148253782479.28217,29923.842629417453,-5.347545928244964e+33,2.673772964122482e+33,-2.673772964122482e+33
5065555.223697408,75423691926.13646,127686224119.91922,1.0229276197401898,148298702400.83353,29919.31029553517,-5.345926147763408e+33,2.6729630738817037e+33,-2.672963073881705e+33
5171087.6241911035,72699686707.9219,129308759312.08562,1.044122767937426,148344193287.9777,29914.72245054277,-5.344286778417843e+33,2.6721433892089207e+33,-2.672143389208922e+33
5276620.0246848,69942757019.15225,130872733184.66405,1.065311377963277,148390234013.78015,29910.081301506987,-5.34262861779959e+33,2.671314308899795e+33,-2.671314308899795e+33
5382152.425178496,67154180887.95701,132377492588.22081,1.0864933768958385,148436803235.1711,29905.389074131937,-5.340952469772354e+33,2.670476234886177e+33,-2.670476234886177e+33
5487684.825672192,64335248613.70193,133822413028.31032,1.1076686950124377,148483879404.15118,29900.648011467427,-5.339259143991869e+33,2.669629571995934e+33,-2.669629571995935e+33
5593217.226165888,61487262094.096565,135206898862.691,1.1288372658116523,148531440779.0286,29895.860372620897,-5.337549455427729e+33,2.668774727713864e+33,-2.668774727713865e+33
5698749.626659584,58611534150.874,136530383481.60265,1.149999026033437,148579465435.6804,29891.02843147402,-5.335824223887776e+33,2.667912111943888e+33,-2.667912111943888e+33
5804282.02715328,55709387854.50771,137792329471.203,1.1711539156773711,148627931278.8297,29886.154475405023,-5.334084273545454e+33,2.6670421367727265e+33,-2.6670421367727276e+33
5909814.427646976,52782155848.42355,138992228760.27585,1.1923018780190384,148676816053.33133,29881.240804017754,-5.332330432470519e+33,2.666165216235259e+33,-2.66616521623526e+33
6015346.828140672,49831179673.15436,140129602750.33633,1.2134428596245517,148726097355.4583,29876.289727878375,-5.33056353216347e+33,2.665281766081735e+33,-2.665281766081735e+33
6120879.228634368,46857809090.875755,141204002429.27246,1.2345768103632422,148775752644.18237,29871.30356726071,-5.328784407094048e+33,2.6643922035470234e+33,-2.6643922035470246e+33
6226411.629128064,43863401410.75361,142215008468.67203,1.255703683418524,148825759252.44043,29866.28465090112,-5.32699389424415e+33,2.6634969471220745e+33,-2.6634969471220756e+33
6331944.029621759,40849320815.52124,143162231304.9996,1.2768234352969583,148876094398.3808,29861.235314763733,-5.325192832655493e+33,2.6625964163277464e+33,-2.6625964163277464e+33
6437476.430115456,37816937689.69636,144045311204.7959,1.2979360258355335,148926735196.58206,29856.157900816874,-5.323382062982302e+33,2.66169103149115e+33,-2.6616910314911524e+33
6543008.830609152,34767627949.836105,144863918314.08426,1.3190414182071786,148977658669.23773,29851.05475582156,-5.321562427049361e+33,2.66078121352468e+33,-2.660781213524681e+33
6648541.2311028475,31702772377.218185,145617752692.17963,1.34013957892454,149028841757.30045,29845.92823013268,-5.319734767415674e+33,2.659867383707837e+33,-2.659867383707837e+33
6754073.631596544,28623755953.32351,146306544330.10376,1.3612304778420379,149080261331.5795,29840.780676513677,-5.317899926944007e+33,2.6589499634720034e+33,-2.6589499634720034e+33
6859606.03209024,25531967198.48844,146930053153.8198,1.3823140881562253,149131894203.78525,29835.614448965414,-5.31605874837656e+33,2.658029374188279e+33,-2.6580293741882804e+33
6965138.432583936,22428797514.078053,147488069012.50873,1.4033903864044808,149183717137.5149,29830.43190156979,-5.314212073916999e+33,2.6571060369584997e+33,-2.6571060369584997e+33
7070670.833077632,19315640528.52461,147980411652.11707,1.424459352462055,149235706859.17365,29825.235387348777,-5.312360744819069e+33,2.6561803724095347e+33,-2.6561803724095347e+33
7176203.233571328,16193891447.561472,148406930674.4125,1.4455209695374989,149287840068.8257,29820.02725713944,-5.310505600981973e+33,2.655252800490986e+33,-2.6552528004909873e+33
7281735.634065024,13064946408.971897,148767505481.79263,1.4665752241665013,149340093450.97018,29814.809858485456,-5.308647480552717e+33,2.654323740276358e+33,-2.654323740276359e+33
7387268.03455872,9930201842.15847,149062045208.0958,1.4876221062041664,149392443685.23596,29809.585534545608,-5.306787219535587e+33,2.6533936097677927e+33,-2.653393609767794e+33
7492800.435052415,6791053832.83127,149290488635.671,1.5086616088157514,149444867456.9917,29804.356623019758,-5.304925651408911e+33,2.652462825704455e+33,-2.652462825704456e+33
7598332.835546112,3648897493.0945473,149452804098.96768,1.5296937284659067,149497341467.86533,29799.125455092664,-5.303063606749236e+33,2.651531803374618e+33,-2.651531803374618e+33
7703865.236039808,505126337.206095,149548989374.9113,1.5507184649064332,149549842446.16864,29793.894354396103,-5.30120191286307e+33,2.650600956431535e+33,-2.650600956431535e+33
7809397.636533503,-2638868336.7325015,149579071560.3349,1.5717358211625994,149602347157.22342,29788.66563598953,-5.299341393426265e+33,2.6496706967131317e+33,-2.649670696713133e+33
7914930.0370272,-5781698058.907785,149543106936.74072,1.5927458035180437,149654832413.58377,29783.441605359727,-5.297482868131161e+33,2.64874143406558e+33,-2.6487414340655813e+33
8020462.437520896,-8921977793.511053,149441180822.66803,1.6137484214982891,149707275085.15164,29778.22455743961,-5.295627152341586e+33,2.647813576170793e+33,-2.647813576170793e+33
8125994.8380145915,-12058326537.818214,149273407413.94775,1.6347436878529105,149759652109.18155,29773.016775646494,-5.293775056755724e+33,2.646887528377862e+33,-2.646887528377862e+33
8231527.238508288,-15189367914.418001,149039929612.12494,1.6557316185363775,149811940500.17078,29767.82053094,-5.291927387076976e+33,2.6459636935384874e+33,-2.6459636935384885e+33
8337059.639001984,-18313730756.390224,148740918841.33267,1.6767122326876092,149864117359.6317,29762.638080899847,-5.29008494369281e+33,2.6450424718464047e+33,-2.645042471846406e+33
8442592.03949568,-21430049685.243156,148376574853.90286,1.6976855526082715,149916159885.74356,29757.471668823593,-5.28824852136165e+33,2.6441242606808245e+33,-2.6441242606808256e+33
8548124.439989375,-24536965681.43293,147947125524.9987,1.718651603739848,149968045382.8799,29752.323522844472,-5.286418908907804e+33,2.6432094544539015e+33,-2.6432094544539027e+33
8653656.840483071,-27633126647.29728,147452826636.55554,1.7396104146395188,150019751271.0099,29747.195855069473,-5.284596888924459e+33,2.6422984444622294e+33,-2.6422984444622294e+33
8759189.240976768,-30717187962.248634,146893961650.81567,1.7605620169548757,150071255094.96954,29742.090860737648,-5.28278323748473e+33,2.6413916187423646e+33,-2.641391618742366e+33
8864721.641470464,-33787813030.08011,146270841473.7434,1.7815064453975076,150122534533.60233,29737.010717398687,-5.280978723860719e+33,2.6404893619303597e+33,-2.6404893619303597e+33
8970254.04196416,-36843673818.250824,145583804208.60406,1.8024437377154898,150173567408.7648,29731.957584111817,-5.27918411025061e+33,2.6395920551253045e+33,-2.6395920551253056e+33
9075786.442457857,-39883451389.024994,144833214899.99216,1.823373934664805,150224331694.19672,29726.933600664976,-5.277400151513713e+33,2.6387000757568563e+33,-2.6387000757568563e+33
9181318.842951551,-42905836422.351364,144019465268.58987,1.8442970799797294,150274805524.25327,29721.940886814158,-5.275627594913432e+33,2.6378137974567156e+33,-2.6378137974567167e+33
9286851.243445247,-45909529730.37813,143142973436.93622,1.865213220342218,150324967202.49734,29716.981541542977,-5.273867179868105e+33,2.6369335899340525e+33,-2.6369335899340525e+33
9392383.643938944,-48893242763.50709,142204183646.4859,1.8861224053503116,150374795210.15057,29712.057642342246,-5.272119637709638e+33,2.636059818854819e+33,-2.636059818854819e+33
9497916.04443264,-51855698107.90449,141203565966.2327,1.907024687485609,150424268214.402,29707.171244509504,-5.270385691449858e+33,2.6351928457249285e+33,-2.6351928457249297e+33
9603448.444926336,-54795629974.38842,140141615993.17065,1.9279201220798214,150473365076.57227,29702.324380468373,-5.268666055554526e+33,2.6343330277772616e+33,-2.634333027777264e+33
9708980.84542003,-57711784678.62761,139018854544.86322,1.9488087672804522,150522064860.1331,29697.519059107526,-5.26696143572488e+33,2.6334807178624393e+33,-2.6334807178624405e+33
9814513.245913727,-60602921112.59084,137835827344.38623,1.9696906840156196,150570346838.58026,29692.757265139164,-5.265272528686667e+33,2.6326362643433336e+33,-2.6326362643433336e+33
9920045.646407424,-63467811207.196754,136593104697.90883,1.9905659359580603,150618190503.1602,29688.04095847674,-5.263600021986495e+33,2.631800010993247e+33,-2.631800010993247e+33
10025578.04690112,-66305240386.12032,135291281165.17058,2.011434589488339,150665575570.4482,29683.372073631777,-5.261944593795452e+33,2.630972296897726e+33,-2.630972296897726e+33
10131110.447394816,-69114008010.72102,133930975223.11058,2.0322967136572943,150712481989.77902,29678.752519129503,-5.260306912719847e+33,2.6301534563599236e+33,-2.6301534563599236e+33
10236642.847888513,-71892927816.0644,132512828922.89955,2.0531523801477474,150758889950.52826,29674.18417694309,-5.258687637618959e+33,2.6293438188094793e+33,-2.6293438188094793e+33
10342175.248382207,-74640828338.0158,131037507540.62154,2.074001663235501,150804779889.24484,29669.668901946257,-5.257087417429671e+33,2.6285437087148353e+33,-2.6285437087148353e+33
10447707.648875903,-77356553331.39198,129505699221.84743,2.094844639749659,150850132496.63425,29665.20852138391,-5.255506890997851e+33,2.627753445498925e+33,-2.627753445498926e+33
