Time Elapsed (s),Distance Between Both Masses (m),Distance of Star 1 from Barycenter (m),Distance of Star 2 from Barycenter (m),Scalar Velocity of Star 1 (m/s),Scalar Velocity of Star 2 (m/s),Kinetic Energy of Star 1 (J),Kinetic Energy of Star 2 (J),Total Kinetic Energy (J),Gravitational Potential Energy (J),Total Mechanical Energy (J),Acceleration of Star 1 (m/s^2),Acceleration of Star 2 (m/s^2),Relative Acceleration (m/s^2),Angular Velocity of Star 1 (rad/s),Angular Velocity of Star 2 (rad/s)
92275388.60421476,3642412566973.3184,2430509155178.4155,1211903411794.903,8237.701018881406,4107.492435837332,6.74864896270591e+37,3.3650195003314255e+37,1.0113668463037335e+38,-1.45383596219862e+38,-4.424691158948863e+37,2.0067417609463567e-05,1.0006040016350722e-05,3.007345762581429e-05,3.389290265099497e-09,3.389290265099497e-09
101502927.46463622,3653162557867.1187,2437682409389.752,1215480148477.367,8220.259599482857,4098.795774221961,6.720101820953416e+37,3.350785290016633e+37,1.007088711097005e+38,-1.4495578269918912e+38,-4.424691158948863e+37,1.994948847170335e-05,9.947238047184249e-06,2.98967265188876e-05,3.372161840204899e-09,3.372161840204899e-09
110730466.3250577,3664869475180.5913,2445494201488.0195,1219375273692.5723,8201.340195153429,4089.3621579744727,6.689204010115776e+37,3.3353789862422364e+37,1.0024582996358012e+38,-1.4449274155306878e+38,-4.424691158948863e+37,1.982224028630845e-05,9.883789403225747e-06,2.9706029689534197e-05,3.3536535029047e-09,3.3536535029047003e-09
119958005.18547918,3677516104364.658,2453933044548.448,1223583059816.2104,8180.988812167531,4079.214526799002,6.656047076611386e+37,3.318846235993995e+37,9.974893312605381e+37,-1.4399584471554248e+38,-4.424691158948863e+37,1.9686141095852254e-05,9.815927460428712e-06,2.9502068556280966e-05,3.3338272331195273e-09,3.3338272331195273e-09
129185544.04590064,3691084151878.907,2462986731656.9023,1228097420222.0051,8159.253884238822,4068.3770307723785,6.620727011575524e+37,3.3012349024877707e+37,9.921961914063295e+37,-1.4346653073012158e+38,-4.424691158948863e+37,1.9541678620292195e-05,9.743895406307639e-06,2.9285574026599835e-05,3.3127478030504542e-09,3.3127478030504546e-09
138413082.90632212,3705554334407.839,2472642395442.0996,1232911938965.7397,8136.185951780978,4056.8748704167374,6.583343547182737e+37,3.2825947143009433e+37,9.86593826148368e+37,-1.4290629420432544e+38,-4.424691158948863e+37,1.9389356176899542e-05,9.6679442055285e-06,2.905730038242804e-05,3.2904822657650247e-09,3.290482265765025e-09
147640621.7667436,3720906469887.5767,2482886568815.916,1238019901071.6611,8111.837340108788,4044.734136243765,6.543999455470512e+37,3.2629769157510265e+37,9.806976371221538e+37,-1.4231667530170402e+38,-4.424691158948863e+37,1.9229688660852138e-05,9.58833059574703e-06,2.8818019256599168e-05,3.26709944867812e-09,3.26709944867812e-09
156868160.62716508,3737119569480.7026,2493705246346.3574,1243414323134.3457,8086.261840222552,4031.981649587028,6.502799858062189e+37,3.242433922708873e+37,9.745233780771061e+37,-1.4169924939719925e+38,-4.424691158948863e+37,1.9063198638379454e-05,9.505315139567995e-06,2.8568513777947447e-05,3.242669458256988e-09,3.242669458256988e-09
166095699.48758656,3754171929678.265,2505083945715.39,1249087983962.8755,8059.514395531412,4018.6448063955827,6.459851554417329e+37,3.2210189876500544e+37,9.680870542067384e+37,-1.4105561701016248e+38,-4.424691158948863e+37,1.8890412598418895e-05,9.419160355541534e-06,2.830957295396043e-05,3.2172632016248916e-09,3.217263201624892e-09
175323238.34800804,3772041223759.8086,2517007768748.3906,1255033455011.4185,8031.650797539987,4004.751425496875,6.415262375368978e+37,3.19878587731484e+37,9.614048252683818e+37,-1.4038739411632682e+38,-4.424691158948863e+37,1.87118574022448e-05,9.330128947872878e-06,2.804198635011768e-05,3.1909519300108528e-09,3.190951930010853e-09
